experiment	item	condition	transitivity	condition2	transitivitybias	textNot	woi	zoi	design	record
msvt	1	1	transitive	1	unspecified	While I was reading the book I was distracted by the music.	while I was reading_the book I was distracted by the music	While I was reading_the book I was distracted by the music.	LatinSquare	paced
msvt	1	2	intransitive	1	unspecified	While I was reading the book fell off the shelf.	while I was reading_the book fell_4 off the shelf	While I was reading_the book fell off the shelf.	LatinSquare	paced
msvt	2	1	transitive	2	transitive	While the dragon was destroying the city the knights cowered in fear.	while the dragon was destroying_the city the knights cowered in fear	While the dragon was destroying_the city the knights cowered in fear.	LatinSquare	paced
msvt	2	2	intransitive	2	transitive	While the dragon was destroying the city burned.	while the dragon was destroying_the city burned_4 swiftly	While the dragon was destroying_the city burned swiftly.	LatinSquare	paced
msvt	3	1	transitive	3	intransitive	Though Mary was smiling her biggest smile she was actually very upset.	though Mary was smiling_her biggest smile she was actually very upset	Though Mary was smiling_her biggest smile she was actually very upset.	LatinSquare	paced
msvt	3	2	intransitive	3	intransitive	Though Mary was smiling her friends knew she was unhappy.	though Mary was smiling_her friends knew_4 she was unhappy	Though Mary was smiling_her friends knew she was unhappy.	LatinSquare	paced
msvt	4	1	transitive	1	unspecified	While I was eating the bread I read the morning newspaper.	while I was eating_the bread I read the morning newspaper 	While I was eating_the bread I read the morning newspaper.	LatinSquare	paced
msvt	4	2	intransitive	1	unspecified	While I was eating the bread crumbled into little pieces.	while I was eating_the bread crumbled_4 into little pieces	While I was eating_the bread crumbled into little pieces.	LatinSquare	paced
msvt	5	1	transitive	2	transitive	While I was explaining the rules of the game I was surrounded by mosquitos.	while I was explaining_the rules of the game Iwas surrounded by mosquitos	While I was explaining_the rules of the game Iwas surrounded by mosquitos.	LatinSquare	paced
msvt	5	2	intransitive	2	transitive	While I was explaining the rules of the game changed.	while I was explaining_the rules of the game changed_4 unexpectedly.	While I was explaining_the rules of the game changed unexpectedly.	LatinSquare	paced
msvt	6	1	transitive	3	intransitive	While Ted was fainting to the floor his friend called an ambulance.	while Ted was fainting_to the floor his friend called an ambulance	While Ted was fainting_to the floor his friend called an ambulance.	LatinSquare	paced
msvt	6	2	intransitive	3	intransitive	While Ted was fainting his friend called an ambulance.	while Ted was fainting_his friend called_4 an ambulance	While Ted was fainting_his friend called an ambulance.	LatinSquare	paced
msvt	7	1	transitive	1	unspecified	While Tom was washing the dishes he sang quietly to himself.	while Tom was washing_the dishes he sang quietly to himself	While Tom was washing_the dishes he sang quietly to himself.	LatinSquare	paced
msvt	7	2	intransitive	1	unspecified	While Tom was washing the dishes fell on the floor.	while Tom was washing_the dishes fell_4 on the floor	While Tom was washing_the dishes fell on the floor.	LatinSquare	paced
msvt	8	1	transitive	2	transitive	While Sarah was devouring the cake she was greeted by a friend.	while Sarah was devouring_the cake she was greeted by a friend 	While Sarah was devouring_the cake she was greeted by a friend.	LatinSquare	paced
msvt	8	2	intransitive	2	transitive	While Sarah was devouring the cake came out of the oven.	while Sarah was devouring_the cake came out_4 of the oven	While Sarah was devouring_the cake came out of the oven.	LatinSquare	paced
msvt	9	1	transitive	3	intransitive	While Jill was sneezing the dust out of her nose her friend offered her a tissue. 	while Jill was sneezing_the dust out of her nose her friend offered her a tissue. 	While Jill was sneezing_the dust out of her nose her friend offered her a tissue. 	LatinSquare	paced
msvt	9	2	intransitive	3	intransitive	While Jill was sneezing the dust blew around in the wind.	while Jill was sneezing_the dust blew_4 around in the wind.	While Jill was sneezing_the dust blew around in the wind.	LatinSquare	paced
msvt	10	1	transitive	1	unspecified	While Susan was jumping the fence she stubbed her toe.	while Susan was jumping_the fence she stubbed her toe. 	While Susan was jumping_the fence she stubbed her toe. 	LatinSquare	paced
msvt	10	2	intransitive	1	unspecified	While Susan was jumping the fence was being painted white.	while Susan was jumping_the fence was being painted_4 white.	While Susan was jumping_the fence was being painted white.	LatinSquare	paced
msvt	11	1	transitive	2	transitive	While Anne was loading the bags into the car she chatted with a friend.	while Anne was loading_the bags into the car she chatted with a friend.	While Anne was loading_the bags into the car she chatted with a friend.	LatinSquare	paced
msvt	11	2	intransitive	2	transitive	While Anne was loading the bags got rained on.	while Anne was loading_the bags got rained on_4 heavily.	While Anne was loading_the bags got rained on heavily.	LatinSquare	paced
msvt	12	1	transitive	3	intransitive	While I was running the race I tripped over a root.	while I was running_the race I tripped over a root.	While I was running_the race I tripped over a root.	LatinSquare	paced
msvt	12	2	intransitive	3	intransitive	While I was running the race got cancelled.	while I was running_the race got cancelled_4 due to lightning.	While I was running_the race got cancelled due to lightning.	LatinSquare	paced
msvt	13	1	transitive	1	unspecified	While John was cooking the vegetables he was listening to the radio.	while John was cooking_the vegetables he was listening to the radio.	While John was cooking_the vegetables he was listening to the radio.	LatinSquare	paced
msvt	13	2	intransitive	1	unspecified	While John was cooking the vegetables burned.	while John was cooking_the vegetables burned_4 badly in the oven.	While John was cooking_the vegetables burned badly in the oven.	LatinSquare	paced
msvt	14	1	transitive	2	transitive	While I was deciphering her messy handwriting I was interrupted by a loud noise.	while I was deciphering_her messy handwriting I was interrupted by a loud noise.	While I was deciphering_her messy handwriting I was interrupted by a loud noise.	LatinSquare	paced
msvt	14	2	intransitive	2	transitive	While I was deciphering her messy handwriting got much neater.	while I was deciphering_her messy handwriting got much neater_4	While I was deciphering_her messy handwriting got much neater	LatinSquare	paced
