experiment	item	condition	Order	Syntax	context	text	woi	design	record	question	qType
liaispe	1	1	fast-slow	close	Au printemps 2012, les étudiants entonnaient un même chant: "	Aujourd’hui nous marchons ensemble. Nous vaincrons.	Aujourd’hui nous marchons_1 ensemble_2. Nous vaincrons.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	1	2	fast-slow	far	Au printemps 2012, les étudiants entonnaient un même chant: "	Aujourd’hui nous marchons. Ensemble nous vaincrons.	Aujourd’hui nous marchons_1. Ensemble_2 nous vaincrons.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	1	3	slow-fast	close	Au printemps 2012, les étudiants entonnaient un même chant: "	Aujourd’hui nous marchons ensemble. Nous vaincrons.	Aujourd’hui nous marchons_1 ensemble_2. Nous vaincrons.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	1	4	slow-fast	far	Au printemps 2012, les étudiants entonnaient un même chant: "	Aujourd’hui nous marchons. Ensemble nous vaincrons.	Aujourd’hui nous marchons_1. Ensemble_2 nous vaincrons.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	2	1	fast-slow	close	La rupture avec votre copain a été loin d'être facile à surmonter.	Votre père voit que vous souriez enfin. Il est content.	Votre père voit que vous souriez_1 enfin_2. Il est content.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	2	2	fast-slow	far	La rupture avec votre copain a été loin d'être facile à surmonter.	Votre père voit que vous souriez. Enfin, il est content.	Votre père voit que vous souriez_1. Enfin_2, il est content.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	2	3	slow-fast	close	La rupture avec votre copain a été loin d'être facile à surmonter.	Votre père voit que vous souriez enfin. Il est content.	Votre père voit que vous souriez_1 enfin_2. Il est content.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	2	4	slow-fast	far	La rupture avec votre copain a été loin d'être facile à surmonter.	Votre père voit que vous souriez. Enfin, il est content.	Votre père voit que vous souriez_1. Enfin_2, il est content.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	3	1	fast-slow	close	Le détective a passé 3 heures à interroger le suspect.	Il répondait aux questions initiallement. Il offrait de bonnes réponses.	Il répondait aux questions_1 initiallement_2. Il offrait de bonnes réponses.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	3	2	fast-slow	far	Le détective a passé 3 heures à interroger le suspect.	Il répondait aux questions. Initiallement, il offrait de bonnes réponses.	Il répondait aux questions_1. Initiallement_2, il offrait de bonnes réponses.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	3	3	slow-fast	close	Le détective a passé 3 heures à interroger le suspect.	Il répondait aux questions initiallement. Il offrait de bonnes réponses.	Il répondait aux questions_1 initiallement_2. Il offrait de bonnes réponses.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	3	4	slow-fast	far	Le détective a passé 3 heures à interroger le suspect.	Il répondait aux questions. Initiallement, il offrait de bonnes réponses.	Il répondait aux questions_1. Initiallement_2, il offrait de bonnes réponses.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	4	1	fast-slow	close	En chemin vers le vieux pont, un garde routier nous intercepte et nous crie: "	Arrêtez-vous ici. C’est dangereux!	Arrêtez-vous_1 ici_2. C’est dangereux!	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	4	2	fast-slow	far	En chemin vers le vieux pont, un garde routier nous intercepte et nous crie: "	Arrêtez-vous. Ici, c’est dangereux	Arrêtez-vous_1. Ici_2, c’est dangereux	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	4	3	slow-fast	close	En chemin vers le vieux pont, un garde routier nous intercepte et nous crie: "	Arrêtez-vous ici. C’est dangereux!	Arrêtez-vous_1 ici_2. C’est dangereux!	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	4	4	slow-fast	far	En chemin vers le vieux pont, un garde routier nous intercepte et nous crie: "	Arrêtez-vous. Ici, c’est dangereux	Arrêtez-vous_1. Ici_2, c’est dangereux	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	5	1	fast-slow	close	Quels sont les plans de Marc suite au décès de sa grand-mère?	Marc donnera ses fleurs en après-midi.  Il ira au salon funéraire.	Marc donnera ses fleurs_1 en_2 après-midi.  Il ira au salon funéraire.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	5	2	fast-slow	far	Quels sont les plans de Marc suite au décès de sa grand-mère?	Marc donnera ses fleurs. En après-midi, il ira au salon funéraire.	Marc donnera ses fleurs_1. En_2 après-midi, il ira au salon funéraire.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	5	3	slow-fast	close	Quels sont les plans de Marc suite au décès de sa grand-mère?	Marc donnera ses fleurs en après-midi.  Il ira au salon funéraire.	Marc donnera ses fleurs_1 en_2 après-midi.  Il ira au salon funéraire.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	5	4	slow-fast	far	Quels sont les plans de Marc suite au décès de sa grand-mère?	Marc donnera ses fleurs. En après-midi, il ira au salon funéraire.	Marc donnera ses fleurs_1. En_2 après-midi, il ira au salon funéraire.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	6	1	fast-slow	close	Malgré le fait que la maladie de ta mère soit avancée, tu dois rester fort. 	S’il te plait ne pleure pas ainsi. Ta mère sera soulagée.	S’il te plait ne pleure pas_1 ainsi_2. Ta mère sera soulagée.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	6	2	fast-slow	far	Malgré le fait que la maladie de ta mère soit avancée, tu dois rester fort. 	S’il te plait, ne pleure pas. Ainsi, ta mère sera soulagée.	S’il te plait, ne pleure pas_1. Ainsi_2, ta mère sera soulagée.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	6	3	slow-fast	close	Malgré le fait que la maladie de ta mère soit avancée, tu dois rester fort. 	S’il te plait ne pleure pas ainsi. Ta mère sera soulagée.	S’il te plait ne pleure pas_1 ainsi_2. Ta mère sera soulagée.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	6	4	slow-fast	far	Malgré le fait que la maladie de ta mère soit avancée, tu dois rester fort. 	S’il te plait, ne pleure pas. Ainsi, ta mère sera soulagée.	S’il te plait, ne pleure pas_1. Ainsi_2, ta mère sera soulagée.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
