experiment	item	condition	transitivity	condition2	transitivitybias	textNot	woi	zoi	lab	design	record
msvt	1	1	transitive	1	unspecified	While I was reading the book I was distracted by the music.	while I was reading_1 the book_2 I_3 was distracted by the music	While I was reading_the book I was distracted by the music.	While I was readingthe book I was distracted by the music.	LatinSquare	paced
msvt	1	2	intransitive	1	unspecified	While I was reading the book fell off the shelf.	while I was reading_1 the book_2 fell_4 off the shelf	While I was reading_the book fell off the shelf.	While I was readingthe book fell off the shelf.	LatinSquare	paced
msvt	2	1	transitive	2	transitive	While the dragon was destroying the city the knights cowered in fear.	while the dragon was destroying_1 the city_2 the knights_3 cowered in fear	While the dragon was destroying_the city the knights cowered in fear.	While the dragon was destroyingthe city the knights cowered in fear.	LatinSquare	paced
msvt	2	2	intransitive	2	transitive	While the dragon was destroying the city burned.	while the dragon was destroying_1 the city_2 burned_4 swiftly	While the dragon was destroying_the city burned swiftly.	While the dragon was destroyingthe city burned swiftly.	LatinSquare	paced
msvt	3	1	transitive	3	intransitive	Though Mary was smiling her biggest smile she was actually very upset.	though Mary was smiling_1 her biggest smile_2 she_3 was actually very upset	Though Mary was smiling_her biggest smile she was actually very upset.	Though Mary was smilingher biggest smile she was actually very upset.	LatinSquare	paced
msvt	3	2	intransitive	3	intransitive	Though Mary was smiling her friends knew she was unhappy.	though Mary was smiling_1 her friends_2 knew_4 she was unhappy	Though Mary was smiling_her friends knew she was unhappy.	Though Mary was smilingher friends knew she was unhappy.	LatinSquare	paced
msvt	4	1	transitive	1	unspecified	While I was eating the bread I read the morning newspaper.	while I was eating_1 the bread_2 I_3 read the morning newspaper 	While I was eating_the bread I read the morning newspaper.	While I was eatingthe bread I read the morning newspaper.	LatinSquare	paced
msvt	4	2	intransitive	1	unspecified	While I was eating the bread crumbled into little pieces.	while I was eating_1 the bread_2 crumbled_4 into little pieces	While I was eating_the bread crumbled into little pieces.	While I was eatingthe bread crumbled into little pieces.	LatinSquare	paced
msvt	5	1	transitive	2	transitive	While I was explaining the rules of the game I was surrounded by mosquitos.	while I was explaining_1 the rules of the game_2 I_3was surrounded by mosquitos	While I was explaining_the rules of the game Iwas surrounded by mosquitos.	While I was explainingthe rules of the game Iwas surrounded by mosquitos.	LatinSquare	paced
msvt	5	2	intransitive	2	transitive	While I was explaining the rules of the game changed.	while I was explaining_1 the rules of the game_2 changed_4 unexpectedly.	While I was explaining_the rules of the game changed unexpectedly.	While I was explainingthe rules of the game changed unexpectedly.	LatinSquare	paced
