experiment	item	condition	conditionlabel	focus	phrasing	intonation	context	text	lab	woi	design	record	session	instructions	retrial
practice	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	Within	y	1	instructionsPractice.txt	y
practice	2	1	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	Within	y	1	instructionsPractice.txt	y
practice	3	1	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	Within	y	1	instructionsPractice.txt	y
doff	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	1	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	1	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	1	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	1	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who broke up with Bill. But what about Sue? Who broke up with her?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	1	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who broke up with Bill. But what about Sue? Who broke up with her?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	1	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who broke up with Bill. But what about Sue? Who broke up with her?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	1	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who broke up with Bill. But what about Sue? Who broke up with her?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	LatinSquare	y	2	instructions.txt	y
doff	2	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Anna started a fight with. But what about Nolan? Who did he start a fight with?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
doff	2	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Anna started a fight with. But what about Nolan? Who did he start a fight with?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
doff	2	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Anna started a fight with. But what about Nolan? Who did he start a fight with?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
doff	2	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Anna started a fight with. But what about Nolan? Who did he start a fight with?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
