experiment	item	condition	conditionLabel	clitic	text	qType	question	design	record
floc2	1	1	argument	n	L'armoire il veut remplacer.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	1	2	argument	y	L'armoire il veut la remplacer.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	1	3	adjunct	n	Dans l'armoire il a vu une souris.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	1	4	adjunct	y	Dans l'armoire il y a vu une souris.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	2	1	argument	n	De la voisine il doit s'occuper.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	2	2	argument	y	De la voisine il doit s'en occuper.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	2	3	adjunct	n	Chez la voisine il doit nettoyer.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	2	4	adjunct	y	Chez la voisine il doit y nettoyer.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	3	1	argument	n	Sa grand-mère il veut rencontrer.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	3	2	argument	y	Sa grand-mère il veut la rencontrer.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	3	3	adjunct	n	Chez sa grand-mère il veut jardiner.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	3	4	adjunct	y	Chez sa grand-mère il veut y jardiner.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	4	1	argument	n	Le Louvre il veut visiter.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	4	2	argument	y	Le Louvre il veut le visiter.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	4	3	adjunct	n	Au Louvre il veut dessiner.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	4	4	adjunct	y	Au Louvre il veut y dessiner.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	5	1	argument	n	Sa guitare elle veut vendre.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
floc2	5	2	argument	y	Sa guitare elle veut la vendre.	jm	Est-ce que la forme de la phrase est naturelle?  \nentre 1 (pas du tout naturelle) et 7 (très naturelle)	LatinSquare	record
