experiment	item	condition	conditionlabel	syntax	context	text	question	qType
Polish	1	1	SP (parallel)	adjective	Słyszałam, ze Ania lubi kupować rzeczy.	Tak, kupiła sobie niebieskie buty i granatowe buty.	[how natural? 1-7]	jm
Polish	1	2	SP (parallel1)	adjective	Słyszałam, ze Ania lubi kupować rzeczy.	Tak, kupiła sobie niebieskie  i granatowe buty.	[how natural? 1-7]	jm
Polish	1	3	CF (contrastive focus)	adjective	Ania kupiła sobie niebieskie buty.	Naprawdę? Ola kupiła sobie granatowe buty.	[how natural? 1-7]	jm
Polish	1	4	CRF (corrective focus)	adjective	Słyszałam, że Ania kupiła sobie niebieskie buty.	Nie, ona kupiła sobie granatowe buty.	[how natural? 1-7]	jm
Polish	1	5	wh question	adjective	Co Ania kupiła sobie wczoraj?	Ona kupiła sobie granatowe buty.	[how natural? 1-7]	jm
Polish	1	6	control	adjective	Ania często kupuje nowe rzeczy.	O tak. Ona kupiła sobie granatowe buty.	[how natural? 1-7]	jm
Polish	2	1	SP (parallel)	adjective	Słyszałam, że Łukasz jest świetnym kucharzem.	Tak, gotuje francuskie potrawy i włoskie potrawy.	[how natural? 1-7]	jm
Polish	2	2	SP (parallel1)	adjective	Słyszałam, że Łukasz jest świetnym kucharzem.	Tak, gotuje francuskie  i włoskie potrawy.	[how natural? 1-7]	jm
Polish	2	3	CF (contrastive focus)	adjective	Marek gotuje francuskie potrawy.	Naprawdę? Łukasz gotuje włoskie potrawy.	[how natural? 1-7]	jm
Polish	2	4	CRF (corrective focus)	adjective	Słyszałam, że Łukasz gotuje francuskie potrawy.	Nie, Łukasz gotuje włoskie potrawy.	[how natural? 1-7]	jm
Polish	2	5	wh question	adjective	Jakie potrawy gotuje Łukasz?	Łukasz gotuje włoskie potrawy.	[how natural? 1-7]	jm
Polish	2	6	control	adjective	Łukasz jest świetnym kucharzem.	O tak, Łukasz gotuje włoskie potrawy.	[how natural? 1-7]	jm
Polish	3	1	SP (parallel)	adjective	Słyszałam, że Agnieszka lubi owoce.	Tak, lubi czerwone porzeczki i czarne porzeczki.	[how natural? 1-7]	jm
Polish	3	2	SP (parallel1)	adjective	Słyszałam, że Agnieszka lubi owoce.	Tak, lubi czerwone i czarne porzeczki.	[how natural? 1-7]	jm
Polish	3	3	CF (contrastive focus)	adjective	Amelka lubi czerwone porzeczki.	Naprawdę? Agnieszka lubi czarne porzeczki.	[how natural? 1-7]	jm
Polish	3	4	CRF (corrective focus)	adjective	Słyszałam, że Agnieszka lubi czerwone porzeczki.	Nie, Agnieszka lubi czarne porzeczki.	[how natural? 1-7]	jm
Polish	3	5	wh question	adjective	Jakie porzeczki lubi Agnieszka?	Agnieszka lubi czarne porzeczki.	[how natural? 1-7]	jm
Polish	3	6	control	adjective	Agnieszka lubi owoce.	Tak, Agnieszka lubi czarne porzeczki.	[how natural? 1-7]	jm
Polish	4	1	SP (parallel)	adjective	Słyszałam, że Sylwia jest utalentowana manualnie.	Tak, wyszywa proste wzory i skomplikowane wzory.	[how natural? 1-7]	jm
Polish	4	2	SP (parallel1)	adjective	Słyszałam, że Sylwia jest utalentowana manualnie.	Tak, wyszywa proste i skomplikowane wzory.	[how natural? 1-7]	jm
Polish	4	3	CF (contrastive focus)	adjective	Magda wyszywa proste wzory.	Naprawdę? Sylwia wyszywa skomplikowane wzory.	[how natural? 1-7]	jm
Polish	4	4	CRF (corrective focus)	adjective	Słyszałam, że Sylwia wyszywa proste wzory.	Nie, Sylwia wyszywa skomplikowane wzory.	[how natural? 1-7]	jm
Polish	4	5	wh question	adjective	Jakie wzory wyszywa Sylwia?	Sylwia wyszywa skomplikowane wzory.	[how natural? 1-7]	jm
Polish	4	6	control	adjective	Sylwia jest utalentowana manulanie.	O tak, Sylwia wyszywa skomplikowane wzory.	[how natural? 1-7]	jm
Polish	5	1	SP (parallel)	adjective	Słyszałam, że Jan sprzedaje meble z drewna.	Tak, sprzedaje okrągłe stoły i kwadratowe stoły.	[how natural? 1-7]	jm
Polish	5	2	SP (parallel1)	adjective	Słyszałam, że Jan sprzedaje meble z drewna.	Tak, sprzedaje okrągłe  i kwadratowe stoły.	[how natural? 1-7]	jm
Polish	5	3	CF (contrastive focus)	adjective	Tomek sprzedaje okrągłe stoły.	Naprawdę? Jan sprzedaje kwadratowe stoły.	[how natural? 1-7]	jm
