experiment	item	condition	conditionlabel	focus	phrasing	intonation	context	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd	
practice	3	1	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	2	1	1	1	practice_2_3_1.wav	6.46	09-Mar-2015	13:05:51	13:05:58	
practice	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	2	1	2	2	practice_2_1_1.wav	16.3527	09-Mar-2015	13:06:00	13:06:17	
practice	3	1	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	2	1	1	1	practice_2_3_1.wav	10.9855	09-Mar-2015	13:09:00	13:09:11	
practice	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	2	1	2	2	practice_2_1_1.wav	6.6545	09-Mar-2015	13:09:13	13:09:19	
practice	2	1	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	2	1	3	3	practice_2_2_1.wav	2.6473	09-Mar-2015	13:09:20	13:09:23	
doff	6	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Joan complimented. But what about Cindy? Who did she compliment?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y	2	1	1	1	doff_2_6_1.wav	5.5573	09-Mar-2015	13:09:26	13:09:31	
doff	24	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who built the chairs. But what about the table? Who built it?	Tammy built the table.	Tammy built the table	Tammy_1 built the_2 table_3	LatinSquare	y	2	instructions.txt	y	2	1	2	2	doff_2_24_7.wav	2.4152	09-Mar-2015	13:09:32	13:09:35	
doff	27	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about what Hermione tripped over. But what about Harry? What did he trip over?	Harry tripped over the step.	Harry tripped over the step	Harry_1 tripped over the_2 step_3	LatinSquare	y	2	instructions.txt	y	2	1	3	3	doff_2_27_4.wav	2.1105	09-Mar-2015	13:09:35	13:09:37	
doff	20	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about which band Tina liked. But what about Abby? Who did she like?	Abby liked Nirvana.	Abby liked Nirvana	Abby_1 liked Nirvana_2	LatinSquare	y	2	instructions.txt	y	2	1	4	4	doff_2_20_3.wav	2.0474	09-Mar-2015	13:09:38	13:09:40	
practice	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	1	1	1	1	practice_1_1_1.wav	8.2785	09-Mar-2015	13:12:46	13:12:54	
practice	3	1	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	2	1	1	1	practice_2_3_1.wav	8.2332	09-Mar-2015	13:15:33	13:15:41	
practice	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	1	1	1	1	practice_1_1_1.wav	5.2731	09-Mar-2015	13:16:40	13:16:46	
practice	3	1	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	1	1	1	1	practice_1_3_1.wav	5.1213	09-Mar-2015	13:17:38	13:17:43	
practice	2	1	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	1	1	2	2	practice_1_2_1.wav	15.247	09-Mar-2015	13:17:44	13:18:00	
practice	1	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	1	1	3	3	practice_1_1_1.wav	2.2711	09-Mar-2015	13:18:01	13:18:03	
practice	3	1	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	1	1	1	1	practice_1_3_1.wav	4.5248	09-Mar-2015	13:18:56	13:19:00	
practice	2	1	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Bill broke up with. But what about John? Who did he break up with?	John broke up with Sue.	John broke up with Sue	John_1 broke up with Sue_2	PseudoRandom	y	1	instructionsPractice.txt	y	1	1	2	2	practice_1_2_1.wav	11.1462	09-Mar-2015	13:19:01	13:19:12	
