experiment	item	condition	context	shortcontext	text	qType	question
experiment	1	1	It was Christmas, and Gramma was deciding what gifts to give to her grandchildren, John and Marion.  She had knitted two scarves as gifts, and had also purchased a couple of stuffed bunnies. She wrapped up a scarf and a bunny for John.  Then she remembered how rude Marion had been at Thanksgiving.	It was Christmas, and Gramma was deciding what gifts to give to her two grandchildren.	Gramma didn't give a scarf to Marion. Gramma only gave a bunny to Marion.  	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	1	2	It was Christmas, and Gramma was deciding what gifts to give to her grandchildren, John and Marion.  She had knitted two scarves as gifts, and had also purchased a couple of stuffed bunnies. She wrapped up a scarf and a bunny for John.  Then she remembered how rude Marion had been at Thanksgiving.	It was Christmas, and Gramma was deciding what gifts to give to her two grandchildren.	Gramma gave a scarf and a bunny to John. Gramma only gave a bunny to Marion.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	1	3	It was Christmas, and Gramma was deciding what gifts to give to her grandchildren, John and Marion.  She had knitted two scarves as gifts, and had also purchased a couple of stuffed bunnies. She wrapped up a scarf and a bunny for Marion.  Then she remembered how rude John had been at Thanksgiving. 	It was Christmas, and Gramma was deciding what gifts to give to her two grandchildren.	Gramma didn't give a bunny to John. Gramma only gave a bunny to Marion.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	1	4	It was Christmas, and Gramma was deciding what gifts to give to her grandchildren, John and Marion.  She had knitted two scarves as gifts, and had also purchased a couple of stuffed bunnies. She wrapped up a scarf and a bunny for Marion.  Then she remembered how rude John had been at Thanksgiving.	It was Christmas, and Gramma was deciding what gifts to give to her two grandchildren. 	Gramma gave a scarf to both Marion and John. Gramma only gave a bunny to Marion.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	1	5	It was Christmas, and Gramma was deciding what gifts to give to her grandchildren, John and Marion.  She had thought about buying scarves and stuffed bunnies as presents. Money was very tight that year, and although she wanted to give lots of gifts to both of them, she realized she would have to choose one grandchild to give a single gift to. Then she remembered how rude John had been at Thanksgiving.	It was Christmas, and Gramma was deciding what gifts to give to her two grandchildren.	Gramma didn't give a scarf to Marion, and she didn't give either a bunny or a scarf to John. Gramma only gave a bunny to Marion.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	1	6	It was Christmas, and Gramma was deciding what gifts to give to her grandchildren.  Money was very tight that year, and although she wanted to give lots of gifts to both of them, she realized she would have to choose one grandchild to give a single gift to. 	It was Christmas, and Gramma was deciding what gifts to give to her two grandchildren.	Gramma picked one present and gave it to her favorite grandchild. Gramma only gave a bunny to Marion.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	2	1	Jim was the owner of an inline-skate rental place on the beach. Two friends of his, Tom and Lillian, came by to rent helmets and knee pads for protection, in case they fell while skating. Jim had helmets for both of them, but he only had one pair of knee pads. He knew that Lillian was a much better skater than Tom.	Jim was the owner of an inline-skate rental place on the beach.	Jim didn't rent knee pads to Lilian. Jim only rented a helmet to Lillian.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	2	2	Jim was the owner of an inline-skate rental place on the beach. Two friends of his, Tom and Lillian, came by to rent helmets and knee pads for protection, in case they fell while skating. Jim had helmets for both of them, but he only had one pair of knee pads. He knew that Lillian was a much better skater than Tom.	Jim was the owner of an inline-skate rental place on the beach. 	Jim rented a helmet and knee pads to Tom. Jim only rented a helmet to Lillian.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	2	3	Jim was the owner of an inline-skate rental place on the beach. Two friends of his, Tom and Lillian, came by to rent helmets and knee pads for protection, in case they fell while skating. Jim had knee pads for both of them, but he only had one helmet. He knew that Lillian was not very good at skating.	Jim was the owner of an inline-skate rental place on the beach. 	Jim didn't rent a helmet to Tom. Jim only rented a helmet to Lillian.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	2	4	Jim was the owner of an inline-skate rental place on the beach. Two friends of his, Tom and Lillian, came by to rent helmets and knee pads for protection, in case they fell while skating. Jim had knee pads for both of them, but he only had a single helmet. He knew that Lillian was not very good at skating.	Jim was the owner of an inline-skate rental place on the beach. 	Jim rented knee pads to both Lillian and Tom. Jim only rented a helmet to Lillian.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	2	5	Jim was the owner of an inline-skate rental place on the beach. Two friends of his, Tom and Lillian, came by to rent helmets and knee-pads for protection, in case they fell while skating. Jim didn't have any knee pads left, and he only had one helmet. He knew that Lillian was not very good at skating.	Jim was the owner of an inline-skate rental place on the beach. 	Jim didn't rent a helmet to Tom and he didn't rent knee pads to either Lillian or Tom. Jim only rented a helmet to Lillian.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	2	6	Jim was the owner of an inline-skate rental place on the beach. Two friends of his came by to rent helmets and knee pads for protection, in case they fell while skating. Jim didn't have any knee pads left, and he only had one helmet.	Jim was the owner of an inline-skate rental place on the beach. 	Jim could only rent one piece of equipment to one person. Jim only rented a helmet to Lillian.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	3	1	Tara and Norman asked Sally whether they could borrow snowboarding equipment from her for the weekend. They knew she and her husband used to snowboard, and still had snowboards and shoes that they didn't use much anymore. Sally agreed and looked for them in the attic. While she found two snowboards, she could not find the second pair of shoes. Norman said that he might be able to borrow shoes from a friend. 	Sally was thinking about lending some snowboarding equipment to two of her friends.	Sally didn't lend shoes to Norman. Sally only lent a snowboard to Norman.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	3	2	Tara and Norman asked Sally whether they could borrow snowboarding equipment from her for the weekend. They knew she and her husband used to snowboard, and still had snowboards and shoes that they didn't use much anymore. Sally agreed and looked for them in the attic. While she found two snowboards, she could not find the second pair of shoes. Norman said that he might be able to borrow shoes from a friend. 	Sally was thinking about lending some snowboarding equipment to two of her friends.	Sally lent a snowboard and shoes to Tara. Sally only lent a snowboard to Norman.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	3	3	Tara and Norman asked Sally whether they could borrow snowboarding equipment from her for the weekend. They knew she and her husband used to snowboard, and still had snowboards and shoes that they didn't use much anymore. Sally agreed and looked for them in the attic. While she found two pairs of shoes, she did not find the second snowboard. Tara said that she might be able to borrow a snowboard from a friend. 	Sally was thinking about lending some snowboarding equipment to two of her friends.	Sally didn't lend a snowboard to Tara. Sally only lent a snowboard to Norman.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	3	4	Tara and Norman asked Sally whether they could borrow snowboarding equipment from her for the weekend. They knew she and her husband used to snowboard, and still had snowboards and shoes that they didn't use much anymore. Sally agreed and looked for them in the attic. While she found two pairs of shoes, she did not find the second snowboard. Tara said that she might be able to borrow a snowboard from a friend. 	Sally was thinking about lending some snowboarding equipment to two of her friends.	Sally lent shoes to both Norman and Tara. Sally only lent a snowboard to Norman.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	3	5	Tara and Norman asked Sally whether they could borrow snowboarding equipment from her for the weekend. They knew she and her husband used to snowboard, and still had snowboards and shoes that they didn't use much anymore. Sally agreed and looked for them in the attic. Despite an hour of searching, she failed to find either pair of shoes or the second snowboard. Tara said that she might be able to borrow equipment from a friend.	Sally was thinking about lending some snowboarding equipment to two of her friends.	Sally didn't lend a snowboard to Tara, and she didn't lend shoes to either Norman or Tara. Sally only lent a snowboard to Norman.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	3	6	Two friends asked Sally whether they could borrow snowboarding equipment from her for the weekend. They knew she and her husband used to snowboard, and still had snowboards and shoes that they didn't use much anymore. Sally agreed and looked for them in the attic. However, despite an hour of searching, she only found a single snowboard, and neither pair of shoes.	Sally was thinking about lending some snowboarding equipment to two of her friends.	So Sally could only lend one thing to one person. Sally only lent a snowboard to Norman.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	4	1	Heather went to live in Japan for a year. Two friends of hers in the US, Kristin and Danny, asked her to ship them a monitor and a printer for each of their computers, because both are much cheaper over there. She went to a store, and found two printers of the kind they requested, but there was just a single monitor left. She remembered that Danny still had an old monitor, and wasn't in a rush to get the new one. 	Heather went to live in Japan for a year. Two friends of hers in the US asked her to ship them some computer equipment.	Heather didn't ship a monitor to Danny. Heather only shipped a printer to Danny.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	4	2	Heather went to live in Japan for a year. Two friends of hers in the US, Kristin and Danny, asked her to ship them a monitor and a printer for each of their computers, because both are much cheaper over there. She went to a store, and found two printers of the kind they requested, but there was just a single monitor left. She remembered that Danny still had an old monitor, and wasn't in a rush to get the new one.	Heather went to live in Japan for a year. Two friends of hers in the US asked her to ship them some computer equipment.	Heather shipped a monitor and a printer to Kristin. Heather only shipped a printer to Danny.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	4	3	Heather went to live in Japan for a year. Two friends of hers in the US, Kristin and Danny, asked her to ship them a monitor and a printer for each of their computers, because both are much cheaper over there. She went to a store, and found two monitors of the kind they requested, but there was just a single printer left. She remembered that Kristin still had an old printer, and wasn't in a rush to get the new one. 	Heather went to live in Japan for a year. Two friends of hers in the US asked her to ship them some computer equipment.	Heather didn't ship a printer to Kristin. Heather only shipped a printer to Danny.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	4	4	Heather went to live in Japan for a year. Two friends of hers in the US, Kristin and Danny, asked her to ship them a monitor and a printer for each of their computers, because both are much cheaper over there. She went to a store, and found two monitors of the kind they requested, but there was just a single printer left. She remembered that Kristin still had an old printer, and wasn't in a rush to get the new one. 	Heather went to live in Japan for a year. Two friends of hers in the US asked her to ship them some computer equipment.	Heather shipped a monitor to both Danny and Kristin. Heather only shipped a printer to Danny.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	4	5	Heather went to live in Japan for a year. Two friends of hers in the US, Kristin and Danny, asked her to ship them a monitor and a printer for each of their computers, because both are much cheaper over there. She went to a store, and could only find one printer. In addition, they had run out of monitors. She knew that Danny was in a rush to set up his computer. 	Heather went to live in Japan for a year. Two friends of hers in the US asked her to ship them some computer equipment.	Heather didn't ship a printer to Kristin, and she didn't ship a monitor to either Danny or Kristin. Heather only shipped a printer to Danny.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	4	6	Heather went to live in Japan for a year. Two friends of hers in the US, asked her to ship them a monitor and a printer for each of their computers, because both are much cheaper over there. She realized that she would only be able to afford to ship one piece of equipment this month.	Heather went to live in Japan for a year. Two friends of hers in the US asked her to ship them some computer equipment.	Heather could only ship a single item to one of her friends. Heather only shipped a printer to Danny.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	5	1	On Saturday morning, Daddy had asked his two kids, Meagan and Chris, to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them twenty-five dollars, in the form of one five-dollar bill and one twenty-dollar bill. When he came back from doing errands, however, Daddy saw that Chris had done everything he asked, but Meagan had stopped mowing after she did the front yard and sides, skipping the backyard.  	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them something.	Because of this, Daddy didn't pay a five to Meagan. Daddy only paid a twenty to Meagan.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	5	2	On Saturday morning, Daddy had asked his two kids, Meagan and Chris, to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them twenty-five dollars, in the form of one five-dollar bill and one twenty-dollar bill. When he came back from doing errands, however, Daddy saw that Chris had done everything he asked, but Meagan had stopped mowing after she did the front yard and sides, skipping the backyard.	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them something.	So, Daddy paid a five and a twenty to Chris. Daddy only paid a twenty to Meagan.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	5	3	On Saturday morning, Daddy had asked his two kids, Meagan and Chris, to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them twenty-five dollars, in the form of one five-dollar bill and one twenty-dollar bill. When he came back from doing errands, Daddy saw that Meagan had done everything he asked, but Chris had only mowed a small patch of grass, and not the whole lawn as Daddy had asked him to.	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them something.	Because of this, Daddy didn't pay a twenty to Chris. Daddy only paid a twenty to Meagan.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	5	4	On Saturday morning, Daddy had asked his two kids, Meagan and Chris, to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them twenty-five dollars, in the form of one five-dollar bill and one twenty-dollar bill. When he came back from doing errands, Daddy saw that Meagan had done everything he asked, but Chris had only mowed a small patch of grass, and not the whole lawn as Daddy had asked him to.  	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them something.	So, Daddy paid a five to both Meagan and Chris. Daddy only paid a twenty to Meagan.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	5	5	On Saturday morning, Daddy had asked his two kids, Meagan and Chris, to do some yardwork.  If the kids did what he asked, Daddy promised to pay each of them twenty-five dollars, in the form of one five-dollar bill and one twenty-dollar bill. When he came back from doing errands, however, Daddy saw that Chris hadn't done anything he had been asked to, and Meagan had stopped mowing after she did the front yard and sides, skipping the backyard.	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them something.	Daddy didn't pay a five to either Meagan or Chris, and he didn't pay a twenty to Chris. Daddy only paid a twenty to Meagan.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	5	6	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them twenty-five dollars, in the form of one five-dollar bill and one twenty-dollar bill. When he came back from doing errands, however, Daddy saw that only one child had done yard work like he asked, and hadn't actually finished the work at that.	On Saturday morning, Daddy had asked his two kids to do some yard work.  If the kids did what he asked, Daddy promised to pay each of them something.	Because of this, Daddy only paid one bill to one of the kids. Daddy only paid a twenty to Meagan.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	6	1	Aunt Edna was preparing her will, and deciding whether to leave some of her valuable gemstones to her niece and nephew, Tito and Lauren.  She owned several large diamonds and emeralds which were worth a lot of money. Edna initially decided to leave an emerald and a diamond to each of them. However, then she remembered how Lauren had never thanked her for the beautiful coat Edna had sent for Lauren's birthday.	Aunt Edna was preparing her will, and deciding whether to leave her valuable gemstones to relatives or to charity.	Edna didn't leave an emerald to Lauren. Edna only left a diamond to Lauren.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	6	2	Aunt Edna was preparing her will, and deciding whether to leave some of her valuable gemstones to her niece and nephew, Tito and Lauren.  She owned several large diamonds and emeralds which were worth a lot of money. Edna initially decided to leave an emerald and a diamond to each of them.  However, then she remembered how Lauren had never thanked her for the beautiful coat Edna had sent for Lauren's birthday.	Aunt Edna was preparing her will, and deciding whether to leave her valuable gemstones to relatives or to charity.	Edna left a diamond and an emerald to Tito. Edna only left a diamond to Lauren.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	6	3	Aunt Edna was preparing her will, and deciding whether to leave some of her valuable gemstones to her niece and nephew, Tito and Lauren.  She owned several large diamonds and emeralds which were worth a lot of money. Edna initially decided to leave an emerald and a diamond to each of them. However, then she remembered how Tito had never thanked her for the beautiful coat Edna had sent for Tito's birthday.	Aunt Edna was preparing her will, and deciding whether to leave her valuable gemstones to relatives or to charity.	Edna didn't leave a diamond to Tito. Edna only left a diamond to Lauren.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	6	4	Aunt Edna was preparing her will, and deciding whether to leave some of her valuable gemstones to her niece and nephew, Tito and Lauren.  She owned several large diamonds and emeralds which were worth a lot of money. Edna initially decided to leave an emerald and a diamond to each of them. However, then she remembered how Tito had never thanked her for the beautiful coat Edna had sent for Tito's birthday.	Aunt Edna was preparing her will, and deciding whether to leave her valuable gemstones to relatives or to charity.	Edna left an emerald to both Lauren and Tito. Edna only left a diamond to Lauren.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	6	5	Aunt Edna was preparing her will, and deciding whether to leave some of her valuable gemstones to her niece and nephew, Tito and Lauren.  She owned several large diamonds and emeralds which were worth a lot of money. Edna initially decided to leave an emerald and a diamond to each of them.  However she soon realized that she would need to sell all but one jewel in order to pay some medical bills.  Then she remembered how Tito had never thanked her for the beautiful coat Edna had sent for Tito's birthday.	Aunt Edna was preparing her will, and deciding whether to leave her valuable gemstones to relatives or to charity.	Edna didn't leave an emerald to Lauren, and she didn't leave a diamond or an emerald to Tito. Edna only left a diamond to Lauren.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	6	6	Aunt Edna was preparing her will, and deciding whether to leave some of her valuable gemstones to her niece and nephew.  She owned several large diamonds and emeralds which were worth a lot of money. Edna initially decided to leave a diamond and an emerald to each of them.  However she soon realized that she would need to sell all but one piece of jewelry in order to pay some medical bills.	Aunt Edna was preparing her will, and deciding whether to leave her valuable gemstones to relatives or to charity.	Edna had to pick one child to leave one jewel to. Edna only left a diamond to Lauren.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	7	1	It was Saturday afternoon, and Roger was at the park with his two dogs, Radar and Princess.  He knew how much they loved to play catch, so he usually brought along a couple of frisbees and tennis balls. He looked in his duffel bag for the equipment, and found two frisbees, but he could only find one tennis ball.  Then, he remembered that Radar had been running a bit slower than usual lately, and, unlike Princess, he probably wouldn't want to chase both items at once.	It was Saturday afternoon, and Roger was at the park with his two dogs, playing catch.	Roger didn't toss a ball to Radar. Roger only tossed a frisbee to Radar.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
